original,closest_match
"['<s>', 'flight,', 'rude,', 'unpleasant', '</s>']","['<s>', 'rude,', 'unpleasant,', 'bad', '</s>']"
"['<s>', 'flight,', 'delayed,', 'flight', '</s>']","['<s>', 'delayed,', 'caused,', 'flight', '</s>']"
"['<s>', 'delayed', '</s>']","['<s>', 'flight,', 'delayed,', 'crew', '</s>']"
"['<s>', 'spicy,', 'chicken,', 'amazing', '</s>']","['<s>', 'is', 'amazing,', 'spicy', 'chicken', '</s>']"
"['<s>', 'sweet', '</s>']","['<s>', 'sweet', 'service', '</s>']"
"['<s>', 'counter', '</s>']","['<s>', 'woman,', 'counter,', 'rude', '</s>']"
"['<s>', 'brand', 'ice,', 'delicious', '</s>']","['<s>', 'delicious', 'soft', 'served', 'ice', 'cream', '</s>']"
"['<s>', 'horrible', '</s>']","['<s>', 'horrible,', 'location', '</s>']"
"['<s>', 'tables', 'seated', '</s>']","['<s>', 'bar,', 'tables,', 'seated', '</s>']"
"['<s>', 'soup', '</s>']","['<s>', 'husband,', 'soup,', 'egg', 'roll', '</s>']"
"['<s>', 'great', 'value', '</s>']","['<s>', 'great', 'wall,', 'excellent', 'value', '</s>']"
"['<s>', 'bowl,', 'great,', 'meal', '</s>']","['<s>', 'great', 'meal', '</s>']"
"['<s>', 'place', 'is', 'great', '</s>']","['<s>', 'is,', 'great', 'place', '</s>']"
"['<s>', 'sadly', '</s>']","['<s>', 'sadly', 'disappointed', '</s>']"
"['<s>', 'food,', 'not', 'fresh', '</s>']","['<s>', 'food,', 'worse,', 'dishes,', 'not', 'fresh', '</s>']"
"['<s>', 'great', '</s>']","['<s>', 'great', 'deli,', 'grocery', '</s>']"
"['<s>', 'failed', '</s>']","['<s>', 'problem,', 'failed', '</s>']"
"['<s>', 'stinks,', 'cigarette', 'smoke', '</s>']","['<s>', 'new', 'room', 'stinks,', 'cigarette', 'smoke', 'inside', '</s>']"
"['<s>', 'needs', '</s>']","['<s>', 'needs,', 'get', '</s>']"
"['<s>', 'sorry,', 'lacking', '</s>']","['<s>', 'sorry', '</s>']"
"['<s>', 'is,', 'favorite,', 'shop', '</s>']","['<s>', 'is', 'now,', 'favorite', 'places,', 'shop', '</s>']"
"['<s>', 'stoked,', 'back', '</s>']","['<s>', 'brings,', 'back,', 'childhood', '</s>']"
"['<s>', 'creative', 'ingredients', '</s>']","['<s>', 'menu,', 'creative,', 'ingredients,', 'fresh', '</s>']"
"['<s>', 'dog', '</s>']","['<s>', 'dog,', 'cat', '</s>']"
"['<s>', 'sandwich,', 'chicken', '</s>']","['<s>', 'chicken', 'sandwich', '</s>']"
"['<s>', 'beyond', '</s>']","['<s>', 'beyond,', 'pleasant', '</s>']"
"['<s>', 'parents,', 'anniversary', '</s>']","['<s>', 'parents', '</s>']"
"['<s>', 'extra', 'key,', 'charge', '</s>']","['<s>', 'extra', 'charge,', 'card', '</s>']"
"['<s>', 'bad', 'product', '</s>']","['<s>', 'bad', 'product,', 'bad,', 'away', '</s>']"
"['<s>', 'nice,', 'ball', '</s>']","['<s>', 'nice', 'selection', '</s>']"
"['<s>', 'not', '</s>']","['<s>', 'not,', 'returning', '</s>']"
"['<s>', 'love,', 'place,', '!', '</s>']","['<s>', 'absolutely', 'love,', 'place', '</s>']"
"['<s>', 'love,', 'place,', 'food,', 'great,', 'price', '</s>']","['<s>', 'great', 'atmosphere,', 'delicious', 'food', 'love,', 'place,', '!', '</s>']"
"['<s>', 'valentine,', 'delivery,', 'wife', '</s>']","['<s>', 'wife,', 'love,', 'place', '</s>']"
"['<s>', 'fantastic', '</s>']","['<s>', 'fantastic,', '!', '</s>']"
"['<s>', 'dull,', 'clueless', '</s>']","['<s>', 'clueless', '</s>']"
"['<s>', 'sad,', 'no', '</s>']","['<s>', 'interior,', 'sad,', 'chicken,', 'no', '</s>']"
"['<s>', 'fantastic,', 'friendly,', 'food,', 'great', '</s>']","['<s>', 'great', 'friendly', 'service,', 'food,', 'fantastic', '</s>']"
"['<s>', 'pleased', '</s>']","['<s>', 'tables,', 'pleased', '</s>']"
"['<s>', 'disappointed,', 'experience', '</s>']","['<s>', 'experience,', 'disappointed', '</s>']"
"['<s>', '""nt""', '</s>']","['<s>', 'terrible', '</s>']"
"['<s>', 'worst', '</s>']","['<s>', 'hotel,', 'worst,', 'felt', '</s>']"
"['<s>', 'excellent,', '!', '</s>']","['<s>', 'excellent', '</s>']"
"['<s>', 'spell', '</s>']","['<s>', 'frustrated,', 'spell', '</s>']"
